"date","value"
2020-07-01,10
2020-07-02,8
2020-07-03,13
2020-07-04,13
2020-07-05,6
2020-07-06,11
2020-07-07,17
2020-07-08,19
2020-07-09,20
2020-07-10,27
2020-07-11,22
2020-07-12,18
2020-07-13,12
2020-07-14,22
2020-07-15,29
2020-07-16,25
2020-07-17,39
2020-07-18,19
2020-07-19,38
2020-07-20,23
2020-07-21,32
2020-07-22,37
2020-07-23,28
2020-07-24,28
2020-07-25,21
2020-07-26,23
2020-07-27,18
2020-07-28,53
2020-07-29,21
2020-07-30,44
2020-07-31,45
2020-08-01,47
2020-08-02,41
2020-08-03,34
2020-08-04,35
2020-08-05,38
2020-08-06,55
2020-08-07,41
2020-08-08,44
2020-08-09,39
2020-08-10,64
2020-08-11,76
2020-08-12,82
2020-08-13,91
2020-08-14,111
2020-08-15,61
2020-08-16,80
2020-08-17,51
2020-08-18,73
2020-08-19,84
2020-08-20,106
2020-08-21,121
2020-08-22,71
2020-08-23,63
2020-08-24,63
2020-08-25,45
2020-08-26,97
2020-08-27,111
2020-08-28,106
2020-08-29,102
2020-08-30,89
2020-08-31,59
2020-09-01,97
2020-09-02,80
2020-09-03,149
2020-09-04,123
2020-09-05,109
2020-09-06,112
2020-09-07,92
2020-09-08,114
2020-09-09,121
2020-09-10,121
2020-09-11,149
2020-09-12,99
2020-09-13,84
2020-09-14,84
2020-09-15,153
2020-09-16,144
2020-09-17,153
2020-09-18,128
2020-09-19,108
2020-09-20,129
2020-09-21,98
2020-09-22,75
2020-09-23,153
2020-09-24,79
2020-09-25,95
2020-09-26,119
2020-09-27,88
2020-09-28,97
2020-09-29,110
2020-09-30,116
2020-10-01,147
2020-10-02,94
2020-10-03,126
2020-10-04,123
2020-10-05,88
2020-10-06,114
2020-10-07,120
2020-10-08,131
2020-10-09,182
2020-10-10,159
2020-10-11,114
2020-10-12,143
2020-10-13,154
2020-10-14,92
2020-10-15,153
2020-10-16,211
2020-10-17,135
2020-10-18,204
2020-10-19,139
2020-10-20,255
2020-10-21,293
2020-10-22,200
2020-10-23,277
2020-10-24,293
2020-10-25,229
2020-10-26,267
2020-10-27,261
2020-10-28,274
2020-10-29,326
2020-10-30,391
2020-10-31,381
2020-11-01,369
2020-11-02,338
2020-11-03,369
2020-11-04,585
2020-11-05,480
2020-11-06,451
2020-11-07,555
2020-11-08,498
2020-11-09,512
2020-11-10,699
2020-11-11,662
2020-11-12,584
2020-11-13,543
2020-11-14,948
2020-11-15,580
2020-11-16,556
2020-11-17,729
2020-11-18,868
2020-11-19,639
2020-11-20,927
2020-11-21,723
2020-11-22,655
2020-11-23,682
2020-11-24,838
2020-11-25,880
2020-11-26,753
2020-11-27,702
2020-11-28,822
2020-11-29,633
2020-11-30,537
2020-12-01,776
2020-12-02,758
2020-12-03,682
2020-12-04,586
2020-12-05,773
2020-12-06,577
2020-12-07,580
2020-12-08,653
2020-12-09,763
2020-12-10,778
2020-12-11,712
2020-12-12,738
2020-12-13,560
2020-12-14,514
2020-12-15,586
2020-12-16,636
2020-12-17,622
2020-12-18,636
2020-12-19,578
2020-12-20,503
2020-12-21,405
2020-12-22,511
2020-12-23,533
2020-12-24,555
2020-12-25,405
2020-12-26,331
2020-12-27,476
2020-12-28,397
2020-12-29,616
2020-12-30,597
2020-12-31,615
2021-01-01,598
2021-01-02,412
2021-01-03,535
2021-01-04,519
2021-01-05,565
2021-01-06,605
2021-01-07,545
2021-01-08,528
2021-01-09,532
2021-01-10,449
2021-01-11,404
2021-01-12,509
2021-01-13,519
2021-01-14,500
2021-01-15,572
2021-01-16,460
2021-01-17,316
2021-01-18,378
2021-01-19,512
2021-01-20,556
2021-01-21,517
2021-01-22,493
2021-01-23,490
2021-01-24,359
2021-01-25,331
2021-01-26,537
2021-01-27,503
2021-01-28,518
2021-01-29,418
2021-01-30,479
2021-01-31,292
2021-02-01,401
2021-02-02,402
2021-02-03,467
2021-02-04,470
2021-02-05,450
2021-02-06,479
2021-02-07,349
2021-02-08,394
2021-02-09,480
2021-02-10,451
2021-02-11,436
2021-02-12,450
2021-02-13,442
2021-02-14,361
2021-02-15,326
2021-02-16,393
2021-02-17,617
2021-02-18,533
2021-02-19,532
2021-02-20,491
2021-02-21,454
2021-02-22,508
2021-02-23,496
2021-02-24,356
